"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr"
"Houston","B12",37,32,5,64.3,118.95539355512,85.651233412462,0.97762861047936,50.3,44,30.8
"Connecticut","BE",40,37,3,65.5,127.2111549945,91.955518811005,0.97662073370438,56.9,44.4,31.9
"Purdue","B10",39,34,5,68,125.86180548837,93.783339162668,0.96717753853778,55.8,47.5,41.3
"Auburn","SEC",35,27,8,70.8,120.41944252617,92.606713166138,0.95347496982418,54.2,43.7,38.3
"Arizona","P12",36,27,9,73.2,120.55597182631,93.032821914683,0.95167895422872,54.5,48.4,36.4
"Iowa St.","B12",37,29,8,68.2,113.59566641174,87.982919746754,0.9497066622888,52,47.4,35.4
"Tennessee","SEC",36,27,9,70.1,115.78443414033,90.472872868667,0.94463342607893,51.1,45.3,33.7
"North Carolina","ACC",37,29,8,71.4,118.70585297371,93.870427618716,0.93699311258525,51.5,46.7,36.2
"Duke","ACC",36,27,9,67.4,120.61036830658,95.710976224479,0.93457399979346,54.6,48.6,34.3
"Marquette","BE",37,27,10,69.9,117.96745703899,94.402774145948,0.92841816475623,55,49.8,25.5
"Creighton","BE",35,25,10,67.6,120.56701436605,96.608708359312,0.92741707998087,57.3,46.3,24.7
"Illinois","B10",38,29,9,70.6,124.55899383463,100.26539601838,0.92379241716406,53.6,48,37.1
"Alabama","SEC",37,25,12,73.2,126.05149515397,101.56966291333,0.92296806841723,56.3,49.7,35.3
"Gonzaga","WCC",34,26,8,69.7,121.98585338039,98.340785128513,0.92257519788908,57,47.3,30.7
"Saint Mary's","WCC",33,25,8,63.3,114.54092531385,93.543268028865,0.9112378079911,52.8,45.1,28
"Michigan St.","B10",35,20,15,66.2,113.89657281673,93.373743763314,0.90761258034065,51.6,48,29.3
"Baylor","B12",34,23,11,66.7,122.41787543469,100.70987708992,0.9041975836724,55.7,51.4,40.2
"St. John's","BE",33,20,13,70.2,119.11432116576,98.089861458313,0.90319996087989,50.9,49.5,27.3
"Kansas","B12",33,22,11,69.9,114.23130366007,94.085819135908,0.90301715336684,53.5,48.3,32.5
"BYU","B12",34,23,11,69.9,119.75576042636,98.723537358069,0.90212005138569,54.8,48.2,25.4
"Texas","B12",34,21,13,68.2,116.42212484243,96.745681095254,0.89369710354394,53,48.1,30.2
"Clemson","ACC",36,24,12,67.1,117.61017524087,97.745782699855,0.89355345920769,53.9,48.2,30.7
"Wisconsin","B10",36,22,14,66.1,118.98084919751,98.901405587777,0.8933713050362,52.2,52,33.8
"Florida","SEC",36,24,12,72.7,119.94256867726,99.957817517751,0.89051815557718,51.8,49.3,38.4
"Colorado","P12",37,26,11,68.6,117.78052586771,98.471377682463,0.88686948832233,55.4,49.7,35.1
"Kentucky","SEC",33,23,10,73.4,122.12524999304,102.23293236238,0.88540316574246,57.2,49.6,30.4
"New Mexico","MWC",35,25,10,73.7,113.67969285681,95.605783078041,0.87987446467073,50.5,48.1,33.2
"San Diego St.","MWC",35,24,11,67,111.96986298561,94.21674664575,0.87924138416006,49.9,47.3,36.7
"Nebraska","B10",34,23,11,69.8,115.98857035954,97.598879315603,0.87923385350666,53.1,46.7,32.6
"Villanova","BE",34,18,16,64.5,110.70797386,93.959606957196,0.86833940017036,50.6,48.3,26.8
"Mississippi St.","SEC",35,21,14,68,111.82058472106,94.976326247792,0.86733314510039,51.4,48,37.4
"Texas Tech","B12",34,23,11,67.4,116.93078644673,99.342719637499,0.86698673334681,52.6,49.2,34.2
"Utah","P12",37,22,15,70.8,114.31309527945,97.51454370912,0.86150008056798,54.4,48.8,27.1
"Wake Forest","ACC",35,21,14,69.1,116.55962563452,99.698036846073,0.85777787527052,54.2,49.1,32
"Pittsburgh","ACC",33,22,11,66.8,115.24177038467,98.5834879345,0.85759753882307,51.6,49,30.5
"Dayton","A10",33,25,8,65,116.9970276007,100.16793760164,0.85643054811937,56.2,48.3,36.7
"Indiana St.","MVC",38,31,7,71.6,119.41415869305,102.24703324562,0.85629704269034,59.8,49.9,33.1
"Texas A&M","SEC",36,21,15,67,116.81635891898,100.04690359449,0.8559542647125,45.7,50.5,38.6
"Colorado St.","MWC",34,23,11,66.9,113.49550882076,97.291708010963,0.85465271632955,54.2,48.5,31.8
"Nevada","MWC",33,25,8,67.7,113.94505125752,97.738941190862,0.85374577260169,53.2,48.4,45
"Ohio St.","B10",36,22,14,67.1,115.23530865322,98.867073353449,0.8534348758066,50.9,48.7,33.6
"Northwestern","B10",34,22,12,64.9,115.29331502522,99.056279259939,0.85139693903178,52.6,51.5,29.2
"Washington St.","P12",35,25,10,65.7,112.58249038181,96.79858502783,0.85032075217534,51.8,47.2,31.6
"TCU","B12",34,21,13,70.9,114.16934341422,98.292576640101,0.84837913583835,51.5,50.7,35
"Boise St.","MWC",31,20,11,67.3,112.93558701042,97.287659388568,0.84750604420135,51,49.8,35.1
"Cincinnati","B12",37,22,15,68.2,110.9944842436,95.666484946708,0.84671218472034,50.3,47.7,27.6
"Oklahoma","B12",32,20,12,68.1,113.05603208941,97.472646685194,0.84626279716242,53.1,47.4,37.7
"Seton Hall","BE",37,25,12,67.4,112.89618314159,97.436034357115,0.84470152383147,50.4,49.2,30.9
"South Carolina","SEC",34,26,8,64.1,114.43429552849,99.80048036547,0.8282848290669,50.9,48.4,31.8
"Florida Atlantic","Amer",34,25,9,69,116.85059288152,102.04130659821,0.82613255268093,54.7,49.6,34.8
"N.C. State","ACC",41,26,15,68.6,113.23804461245,98.954837962855,0.82499015578107,50.7,49.5,32
"Butler","BE",32,17,15,69.4,113.23557967544,98.963199666889,0.82481364540934,51.9,50,26.7
"Providence","BE",35,21,14,68.5,108.10353813513,94.532343760407,0.82385619925886,51.5,47.5,31.8
"Drake","MVC",34,27,7,68.8,114.2131602889,99.925566926712,0.82300939171059,54.7,50.8,32.3
"Oregon","P12",36,24,12,68,114.09178658457,99.850878289064,0.82248020053992,51.9,51.5,32
"Virginia Tech","ACC",34,19,15,68.8,114.93351348364,100.62408236189,0.82186951737518,53.8,51,33
"Iowa","B10",34,19,15,72.8,118.91415865447,104.20436405608,0.82032493079852,52.9,52.2,33.1
"Xavier","BE",34,16,18,72,111.85254896495,98.314446967636,0.81511883750643,49.1,49.5,31.8
"Utah St.","MWC",33,26,7,69.6,114.49954879978,100.64358363307,0.81507548874013,54,49.8,39
"Virginia","ACC",34,23,11,61,104.34536747601,91.908219087789,0.81146100028756,48.6,46.6,25.3
"Washington","P12",32,17,15,72.1,114.40216146823,101.20305750497,0.80373385129431,53.5,50.1,32.1
"Bradley","MVC",34,22,12,67.2,111.70393383793,98.930366930453,0.80162955422386,55.1,47.6,27.5
"SMU","Amer",32,19,13,68.5,111.60366683736,98.921462990916,0.8001477817632,51,47.2,28.8
"North Texas","Amer",32,17,15,62.4,110.13378015481,97.852110029473,0.79571798287999,50.8,48,28.8
"Grand Canyon","WAC",34,29,5,69.2,111.05537297963,98.957542658854,0.79024244376199,51.4,45.8,46.7
"UCF","B12",33,17,16,69.6,105.725832318,94.685986662346,0.78044427887936,47.8,47.9,37.2
"San Francisco","WCC",33,22,11,68,109.11654553792,97.804922874167,0.7787813381788,55,49.5,23.5
"Kansas St.","B12",34,19,15,68.4,107.51400466275,96.526425006647,0.77552041920432,50.2,46.8,38.3
"Maryland","B10",33,16,17,66.4,105.38230491615,94.653860621961,0.77464585570087,46.7,46.7,40.8
"Syracuse","ACC",31,19,12,71.7,110.8651406889,99.708881261059,0.7720085069477,51.3,52.8,34.1
"Mississippi","SEC",32,20,12,67.7,113.78884944827,102.39490080149,0.77088896859128,51.2,50.2,35.1
"USC","P12",33,15,18,69.1,110.42762068682,99.415384301684,0.76996512449225,51.7,50.2,33.6
"Georgia","SEC",37,20,17,69.7,109.3033869922,98.44194131565,0.76916370027918,49.8,49.8,36.6
"Miami FL","ACC",32,15,17,69.7,111.54283283349,100.5501779606,0.76730316110456,52.7,51,24.6
"James Madison","SB",35,31,4,70.7,111.44561930157,100.50052900976,0.76652606438227,53.9,47.2,34.9
"Boston College","ACC",36,20,16,67.9,112.788633683,102.15299469809,0.75749694745066,52.5,50.5,25
"UNLV","MWC",32,19,13,66.3,112.21958184063,101.65937337048,0.75704421621838,51.7,50,33.2
"Richmond","A10",33,23,10,67.6,107.02893117596,96.967984112641,0.75680843058734,52.7,46.9,27.6
"Florida St.","ACC",33,17,16,71.9,109.88919933328,99.808019889412,0.75149030624313,50.3,52.2,36.8
"Penn St.","B10",33,16,17,70.8,110.0936846158,99.997456550969,0.75141059995711,50.3,50.2,35.3
"Minnesota","B10",34,19,15,67.5,112.81005023622,102.47480592812,0.75119901457063,54.1,50.4,34.7
"Duquesne","A10",36,24,12,67,107.06049003965,97.516085892644,0.74532488267959,50,48.5,32.5
"VCU","A10",38,24,14,66.3,107.94693732904,98.587316246859,0.73943180740318,51.8,46.8,35
"Indiana","B10",33,19,14,69.4,109.72692568878,100.22201664973,0.73923172910309,52.1,49,37.7
"Princeton","Ivy",27,22,5,66.1,115.29780965652,105.4149468481,0.73702462828575,54.6,52,28.3
"LSU","SEC",33,17,16,70.8,110.11519297311,100.74390644964,0.73553146979612,52.3,49.7,38.3
"Samford","SC",33,27,6,73.7,112.53026544926,102.97358108434,0.7350937656737,56.8,50.5,36.2
"Louisiana Tech","CUSA",29,19,10,66.6,107.86862629157,98.841586549055,0.73205026131298,50.6,45.6,42
"Memphis","Amer",32,22,10,72.6,111.63126763089,102.29324674289,0.73196430670372,52.8,50,36.3
"McNeese St.","Slnd",30,26,4,66.4,111.16175694024,101.91009343796,0.73092040866108,54.2,48.3,40.1
"Saint Joseph's","A10",35,21,14,69.3,110.41431863408,101.35332017647,0.72804231760555,53,49,28.7
"UC Irvine","BW",33,23,10,69.4,107.96424162388,99.201820903159,0.72579719267888,51.8,46.4,34
"Yale","Ivy",31,21,10,65.8,109.79520397797,100.92519887017,0.72486587463206,52.1,50.4,27.8
"Massachusetts","A10",31,20,11,69.3,111.24935762346,102.51874651612,0.7190748981566,50.6,48.5,35.8
"UCLA","P12",32,15,17,64,106.68811280712,98.492359030991,0.71487986400303,46.6,50.1,35.8
"Loyola Chicago","A10",32,22,10,69.5,104.32613384694,96.475603861119,0.71088062926407,51.5,46.4,33.4
"George Mason","A10",31,19,12,64.8,108.81996994516,100.65175872592,0.71039942812173,52,48,36.7
"South Florida","Amer",33,25,8,68.8,109.53064250114,101.39894246373,0.70829743025692,51.8,47.9,37.8
"Appalachian St.","SB",32,25,7,67.8,106.1846064583,98.695143288016,0.69870720183975,52.7,45.4,31.6
"St. Bonaventure","A10",33,20,13,66.4,111.22262455853,103.48673673843,0.69615172840489,52.3,51.1,32.2
"Stanford","P12",32,14,18,70.5,110.14199680265,102.66584460219,0.69175686061501,54.3,51.9,28.6
"Rutgers","B10",32,15,17,68.8,98.208062434572,91.715273029271,0.68709932173348,43.5,47.2,32.9
"Charleston","CAA",34,26,8,71.2,113.09670539037,105.6614176605,0.68611952867087,52.2,51.2,27.2
"Charlotte","Amer",30,18,12,63.4,108.47419838795,101.56908093442,0.68056977868676,50.8,48.5,35.2
"Arkansas","SEC",33,16,17,71.6,109.16742818831,102.39521598547,0.6762281941375,50.5,50.4,45.3
"Northern Iowa","MVC",32,18,14,67.5,109.17110311342,102.40333883208,0.67611321184838,51.6,52.2,37.4
"Michigan","B10",32,8,24,68.4,111.29223418297,104.54615933234,0.67240970538071,51.1,52.5,32
"Cornell","Ivy",28,20,8,72.5,112.26364161536,105.78522596631,0.66453068550304,56.5,51.3,28
"Oklahoma St.","B12",32,12,20,68.1,107.78355764048,101.73549379085,0.66018349608807,51.3,51.3,34
"Western Carolina","SC",29,19,10,67.8,107.92005884575,101.87409682998,0.6599362384407,51.7,47.2,27.7
"Southern Illinois","MVC",31,18,13,65.2,108.90912763646,102.86671382105,0.65845504380865,52.5,50.1,35.9
"Hofstra","CAA",32,19,13,66.6,108.04922839835,102.22843963704,0.65403784501811,55.4,49,22.3
"Belmont","MVC",32,19,13,72.1,108.84495934015,103.0193479885,0.65307608013378,55,51.1,30.3
"Vermont","AE",33,26,7,64.2,104.9469219106,99.528309568432,0.64785978096909,51.6,46.8,29.2
"UAB","Amer",34,22,12,68.6,112.41417374169,106.77032344907,0.64390763616189,50,51,40.6
"Seattle","WAC",36,22,14,67.7,104.25535712045,99.036737758775,0.64349186663122,50.7,46.3,34.6
"California","P12",32,13,19,69.4,108.45948985996,103.41921319,0.63349472461819,49.2,51.3,29.2
"Georgia Tech","ACC",32,14,18,68.4,108.57555221945,103.53106957375,0.63346409530894,48.7,49.2,29.2
"Davidson","A10",30,13,17,66.4,105.15568179966,100.41368379641,0.62963461248182,48.9,49.4,33.5
"Santa Clara","WCC",32,19,13,70,108.43563543688,103.5688136858,0.62903657825206,52.3,48.4,31.6
"UNC Wilmington","CAA",28,18,10,66.1,112.66639084891,107.70497402289,0.62665822353541,51.1,51.7,32.9
"High Point","BSth",34,25,9,69.5,114.75134992705,109.91709280085,0.62127752022604,52.3,50.1,43.2
"Arizona St.","P12",32,14,18,70,102.86641726301,98.665132719362,0.61764054345324,47.3,51.7,33.1
"UT Arlington","WAC",32,18,14,71.7,107.94714390986,103.67986170639,0.6139244273705,52.1,49,39
"Troy","SB",29,17,12,70.6,106.3973670957,102.32115771195,0.61045855369538,50.1,49.8,41.3
"Drexel","CAA",31,19,12,65.4,106.80118828221,102.83544921972,0.60710219721804,50.6,47.8,30
"Akron","MAC",33,22,11,66.6,105.65998251043,101.84241840773,0.60424742166825,51.7,49.1,32.7
"Oakland","Horz",36,24,12,67.5,108.66949332377,104.79928951993,0.60277408218684,51.9,50.6,30.8
"Missouri","SEC",32,8,24,67.6,108.23068306441,104.41077361615,0.60185934755337,50.2,51.4,31.7
"Notre Dame","ACC",33,13,20,65.2,101.43641784593,97.891172536358,0.60087725955159,47.6,48.2,27.9
"Morehead St.","OVC",31,22,9,65.2,107.06812541526,103.57741558503,0.5941574546633,54.2,46.4,30.6
"Western Kentucky","CUSA",31,19,12,76,104.55094376647,101.20374100078,0.5924723439862,51.7,48.6,32.1
"UC San Diego","BW",31,19,12,66.3,110.50916369576,106.99059072748,0.59196918058525,52.3,50.4,32.4
"West Virginia","B12",32,9,23,69.3,107.64315990608,104.32351474512,0.58909762453942,49.6,52.1,37.1
"Wichita St.","Amer",33,14,19,69.1,104.69859591999,101.64153867575,0.58438100682403,49.8,48.5,26.4
"Liberty","CUSA",29,15,14,65.4,108.97438542127,105.81038752156,0.58390820155841,54.3,50.8,26.7
"Youngstown St.","Horz",28,18,10,69.8,107.15674678858,104.26017721313,0.57813861679444,50.4,49,29.3
"UNC Greensboro","SC",30,19,11,65.7,108.71783181024,106.06216909685,0.57062452314871,53.2,49.5,27.3
"Arkansas St.","SB",37,20,17,68.9,112.12859875218,109.42510595229,0.56971041216707,51.5,50.5,32.9
"South Dakota St.","Sum",32,19,13,68.8,108.08013211314,105.57905494707,0.5669083884871,55.2,51.3,30.1
"Tulane","Amer",30,13,17,73.7,109.82569622475,107.29908285235,0.56651734458219,54.1,51.1,45.5
"Sam Houston St.","CUSA",31,19,12,68.7,104.89018917875,102.50216205076,0.56582719057713,48.6,49.8,34.7
"St. Thomas","Sum",30,17,13,63.9,106.90947229996,104.59329035496,0.56264034058315,54.4,52,29.4
"Missouri St.","MVC",33,17,16,68.8,103.84724101925,101.60280336648,0.56248988949362,49.7,48,31.5
"Louisiana","SB",31,17,14,69.5,105.52270182339,103.25010863799,0.56226905310704,50.7,49.9,28.6
"Tarleton St.","WAC",32,22,10,67.5,107.31322159175,105.13254460271,0.55875104121932,50,50.4,30.4
"Wright St.","Horz",30,16,14,72.4,116.07905338742,113.89205108162,0.55446658754755,58.5,55.3,33.6
"Toledo","MAC",32,20,12,70.2,111.59053146697,109.65805485039,0.55005591496209,53.3,54.5,35.4
"Towson","CAA",33,19,14,63.1,102.48223751963,100.71255941585,0.54991276750351,47.3,48.3,34.7
"Murray St.","MVC",31,11,20,65.4,107.44653890895,105.78813987265,0.5446017478704,50,54.5,29.6
"Oregon St.","P12",31,12,19,66.1,105.86291893944,104.24172998217,0.54425237816024,49.8,51.3,35.6
"Ohio","MAC",32,19,13,68.2,107.98761016267,106.59472465108,0.53725544395077,52.2,49.2,32.1
"Delaware","CAA",32,18,14,68.3,105.11084379056,103.77547769783,0.53669295163558,51.9,48.7,30.9
"Furman","SC",30,15,15,69.8,108.60538754372,107.37050145188,0.53282985221479,52.1,52.9,31
"Weber St.","BSky",29,17,12,66.4,107.55600808627,106.67218867931,0.52370453914334,53.1,54.4,35.2
"Chattanooga","SC",31,19,12,67.7,109.08998261343,108.26028430083,0.52193568102284,54.8,49.9,30.9
"Winthrop","BSth",29,14,15,67.8,106.35071338429,105.82790570752,0.51416422596897,51.9,49.5,50
"Wyoming","MWC",30,13,17,68.1,107.41271711296,106.92302082668,0.51313411757593,50.9,52.8,38
"Eastern Washington","BSky",30,19,11,71.4,110.28956247914,109.90135859537,0.51013606202544,57.2,52.8,39.6
"UC Davis","BW",31,18,13,68.1,101.984753713,101.65560129341,0.50929290324535,50.2,49.1,38.2
"Montana","BSky",33,21,12,67,109.82622012219,109.59821284949,0.50597463040382,54.7,50.7,28.8
"UMass Lowell","AE",29,19,10,70.7,105.01968276383,104.95121273766,0.50187502566941,50.4,47.3,40.1
"Stony Brook","CAA",34,19,15,68.3,105.95414250965,106.22966291321,0.49253418297836,50.3,50,29.2
"East Carolina","Amer",32,14,18,65.8,104.8476148475,105.18816670958,0.49067802637112,47.6,51.3,34
"UTEP","CUSA",31,15,16,70.5,97.623639978533,98.032990195686,0.48797222923972,48.1,51.5,42.8
"Kent St.","MAC",32,15,17,67.6,105.62549705801,106.14141431734,0.485995195646,50.7,51.3,31.9
"Bryant","AE",31,18,13,75.1,99.866284623163,100.40341710826,0.48458308898974,50.7,45.4,29.9
"Colgate","Pat",34,24,10,67.1,102.57093427706,103.12267486469,0.48458138720321,53.3,47.9,27.5
"Georgetown","BE",32,9,23,67.6,109.50765229182,110.19403878376,0.48204366184942,48.6,55.7,33.9
"Quinnipiac","MAAC",33,23,10,72,104.42905490894,105.09101219065,0.48184139073211,50.3,48.9,30.4
"UNC Asheville","BSth",31,19,12,69.1,106.32323469972,107.01989040397,0.48123256784791,52.1,50.1,40.8
"Loyola Marymount","WCC",30,11,19,65.8,107.75100441863,108.56880257345,0.47827567733503,51.6,50.4,28.8
"Purdue Fort Wayne","Horz",34,21,13,71.7,103.28019549158,104.12645835038,0.47655586141398,53.5,51.6,29.8
"Illinois Chicago","MVC",32,11,21,69.1,100.61536445764,101.49776892053,0.47491702480663,50.6,48.9,26
"Stephen F. Austin","WAC",31,16,15,70.3,100.45917791386,101.42152904487,0.47261737179991,49.4,49.6,42.2
"Hawaii","BW",32,18,14,66.9,103.65905876299,104.7157389677,0.47087419076941,52.6,48.5,39
"Longwood","BSth",32,18,14,67.7,103.38312789507,104.66673607412,0.46458310662124,49.1,51.9,39.5
"Saint Louis","A10",32,12,20,70.4,110.85120823403,112.25776701149,0.4638128457624,51.5,54.3,36.3
"Utah Valley","WAC",30,14,16,68.6,98.303088037848,99.903397962814,0.4537067233427,47.1,48,35.4
"La Salle","A10",32,15,17,67.6,105.75130990046,107.48702634037,0.45333137845222,49.2,50.7,24.8
"Fordham","A10",33,13,20,69.8,100.35104377536,102.35237152039,0.4434700871133,46.7,50.4,35.1
"Louisville","ACC",32,8,24,70.5,104.75704739019,106.8993404929,0.44206048104805,48.4,54.6,38.8
